frequency,normalized_amplitude
20742187,0.569
20748697,0.563
20755208,0.584
20761718,0.584
20768229,0.555
20774739,0.557
20781249,0.593
20787760,0.598
20794270,0.571
20800781,0.562
20807291,0.563
20813802,0.580
20820312,0.582
20826822,0.553
20833333,0.555
20839843,0.593
20846354,0.593
20852864,0.553
20859374,0.540
20865885,0.582
20872395,0.577
20878906,0.566
20885416,0.560
20891927,0.559
20898437,0.580
20904947,0.591
20911458,0.567
20917968,0.562
20924479,0.577
20930989,0.575
20937499,0.561
20944010,0.556
20950520,0.567
20957031,0.586
20963541,0.589
20970052,0.558
20976562,0.557
20983072,0.581
20989583,0.575
20996093,0.562
21002604,0.565
21009114,0.571
21015624,0.583
21022135,0.577
21028645,0.561
21035156,0.565
21041666,0.583
21048177,0.580
21054687,0.563
21061197,0.557
21067708,0.566
21074218,0.581
21080729,0.578
21087239,0.551
21093749,0.565
21100260,0.586
21106770,0.581
21113281,0.565
21119791,0.548
21126302,0.555
21132812,0.582
21139322,0.581
21145833,0.558
21152343,0.562
21158854,0.582
21165364,0.588
21171874,0.579
21178385,0.562
21184895,0.553
21191406,0.576
21197916,0.584
21204427,0.564
21210937,0.556
21217447,0.560
21223958,0.574
21230468,0.591
21236979,0.570
21243489,0.563
21249999,0.593
21256510,0.595
21263020,0.579
21269531,0.563
21276041,0.547
21282552,0.564
21289062,0.592
21295572,0.585
21302083,0.565
21308593,0.563
21315104,0.570
21321614,0.599
21328124,0.598
21334635,0.562
21341145,0.579
21347656,0.579
21354166,0.585
21360677,0.581
21367187,0.554
21373697,0.550
21380208,0.580
21386718,0.594
21393229,0.585
21399739,0.575
21406249,0.557
21412760,0.577
21419270,0.599
21425781,0.580
21432291,0.566
21438802,0.570
21445312,0.572
21451822,0.598
21458333,0.585
21464843,0.564
21471354,0.564
21477864,0.570
21484374,0.590
21490885,0.595
21497395,0.563
21503906,0.564
21510416,0.584
21516927,0.599
21523437,0.605
21529947,0.583
21536458,0.566
21542968,0.582
21549479,0.598
21555989,0.600
21562499,0.585
21569010,0.560
21575520,0.572
21582031,0.596
21588541,0.600
21595052,0.590
21601562,0.563
21608072,0.560
21614583,0.598
21621093,0.602
21627604,0.597
21634114,0.585
21640624,0.568
21647135,0.584
21653645,0.612
21660156,0.613
21666666,0.599
21673177,0.574
21679687,0.579
21686197,0.611
21692708,0.613
21699218,0.603
21705729,0.595
21712239,0.572
21718749,0.583
21725260,0.628
21731770,0.611
21738281,0.595
21744791,0.578
21751302,0.585
21757812,0.615
21764322,0.620
21770833,0.608
21777343,0.598
21783854,0.585
21790364,0.597
21796874,0.618
21803385,0.635
21809895,0.626
21816406,0.595
21822916,0.592
21829427,0.610
21835937,0.623
21842447,0.629
21848958,0.610
21855468,0.599
21861979,0.605
21868489,0.613
21874999,0.628
21881510,0.621
21888020,0.605
21894531,0.595
21901041,0.594
21907552,0.628
21914062,0.645
21920572,0.623
21927083,0.614
21933593,0.602
21940104,0.611
21946614,0.640
21953124,0.636
21959635,0.629
21966145,0.615
21972656,0.606
21979166,0.615
21985677,0.622
21992187,0.651
21998697,0.643
22005208,0.614
22011718,0.610
22018229,0.619
22024739,0.645
22031249,0.670
22037760,0.649
22044270,0.623
22050781,0.618
22057291,0.629
22063802,0.655
22070312,0.668
22076822,0.664
22083333,0.638
22089843,0.623
22096354,0.643
22102864,0.656
22109374,0.671
22115885,0.666
22122395,0.650
22128906,0.645
22135416,0.642
22141927,0.655
22148437,0.674
22154947,0.670
22161458,0.651
22167968,0.624
22174479,0.637
22180989,0.650
22187499,0.664
22194010,0.693
22200520,0.668
22207031,0.652
22213541,0.641
22220052,0.641
22226562,0.683
22233072,0.695
22239583,0.687
22246093,0.675
22252604,0.645
22259114,0.652
22265624,0.657
22272135,0.692
22278645,0.697
22285156,0.683
22291666,0.666
22298177,0.641
22304687,0.658
22311197,0.675
22317708,0.696
22324218,0.717
22330729,0.691
22337239,0.664
22343749,0.653
22350260,0.667
22356770,0.697
22363281,0.704
22369791,0.712
22376302,0.684
22382812,0.670
22389322,0.672
22395833,0.672
22402343,0.701
22408854,0.727
22415364,0.723
22421874,0.706
22428385,0.674
22434895,0.673
22441406,0.678
22447916,0.714
22454427,0.729
22460937,0.709
22467447,0.720
22473958,0.691
22480468,0.669
22486979,0.688
22493489,0.723
22499999,0.733
22506510,0.726
22513020,0.724
22519531,0.693
22526041,0.680
22532552,0.688
22539062,0.710
22545572,0.747
22552083,0.747
22558593,0.726
22565104,0.699
22571614,0.693
22578124,0.707
22584635,0.708
22591145,0.746
22597656,0.761
22604166,0.765
22610677,0.735
22617187,0.703
22623697,0.711
22630208,0.715
22636718,0.749
22643229,0.773
22649739,0.780
22656249,0.759
22662760,0.735
22669270,0.724
22675781,0.713
22682291,0.732
22688802,0.745
22695312,0.788
22701822,0.790
22708333,0.765
22714843,0.739
22721354,0.715
22727864,0.729
22734374,0.748
22740885,0.772
22747395,0.802
22753906,0.785
22760416,0.770
22766927,0.741
22773437,0.736
22779947,0.740
22786458,0.752
22792968,0.790
22799479,0.808
22805989,0.820
22812499,0.776
22819010,0.762
22825520,0.751
22832031,0.746
22838541,0.763
22845052,0.780
22851562,0.816
22858072,0.808
22864583,0.817
22871093,0.785
22877604,0.762
22884114,0.755
22890624,0.770
22897135,0.812
22903645,0.813
22910156,0.850
22916666,0.835
22923177,0.829
22929687,0.805
22936197,0.782
22942708,0.777
22949218,0.783
22955729,0.816
22962239,0.828
22968749,0.861
22975260,0.855
22981770,0.831
22988281,0.810
22994791,0.797
23001302,0.781
23007812,0.793
23014322,0.845
23020833,0.868
23027343,0.876
23033854,0.864
23040364,0.861
23046874,0.833
23053385,0.800
23059895,0.803
23066406,0.805
23072916,0.840
23079427,0.859
23085937,0.888
23092447,0.891
23098958,0.878
23105468,0.852
23111979,0.832
23118489,0.818
23124999,0.818
